point_id,X_value,Y_value
0,0.7578859546273714,-1.301921234105321
1,0.6936639062109705,-1.268023401380006
2,0.6311519785896657,-1.23363313659569
3,0.5703536339703608,-1.1995717665489911
4,0.5112348340307319,-1.1665230171251395
5,0.4537304654604441,-1.1350479057052194
6,0.3977501298380795,-1.1055998845832662
7,0.3431831646698458,-1.0785392795559225
8,0.2899029400773996,-1.0541465547221527
9,0.23777055608975936,-1.032634170578
10,0.18663797639863838,-1.0141568660158082
11,0.13635069017559198,-0.9988203352730471
12,0.08674998144088174,-0.9866883295859418
13,0.03767487621312155,-0.9777882195873802
14,-0.011036158310018335,-0.9721150759480026
15,-0.05954365085444194,-0.9696345368472189
16,-0.1080057119111027,-0.9702842501294928
17,-0.1565766454041486,-0.9739741509691764
18,-0.2054055460588433,-0.9805856012785459
19,-0.25463482493717926,-0.9899694309930521
20,-0.30439862304770793,-1.0019429278041696
21,-0.354821022626045,-1.0162858707884088
22,-0.4060140636216021,-1.0327356295836108
23,-0.4580754834122368,-1.0509814628480554
24,-0.5110861590284961,-1.0706581523106042
25,-0.5651072120210414,-1.0913391922492137
26,-0.6201767716581182,-1.1125298021890284
27,-0.6763063909299233,-1.1336601693684265
28,-0.7334771447536826,-1.1540794751887269
29,-0.7916354605162783,-1.1730513434108858
30,-0.8506887721239718,-1.1897515565449084
31,-0.9105011366427048,-1.2032690521347627
32,-0.9708890162090088,-1.2126113656158564
33,-1.0316174554144797,-1.2167156565130368
34,-1.0923969776231273,-1.2144666145890113
35,-1.1528815753636104,-1.2047223444223722
36,-1.2126682144354337,-1.1863489207703777
37,-1.2712982746105297,-1.1582638803225398
38,-1.3282613966845769,-1.1194880108491865
39,-1.3830020615146241,-1.0692041099524325
40,-1.4349292686710238,-1.0068194287507395
41,-1.483429301735152,-0.9320282592143065
42,-1.5278815564792183,-0.8448690853670124
43,-1.5676769362709695,-0.7457705881873836
44,-1.6022381624268993,-0.6355802269366813
45,-1.631040948498329,-0.5155699770259553
46,-1.653634796152937,-0.387415372736668
